"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"K014","Transports i serveis relacionats","Autobusos diürns","428173.996","4580515.023","428082.085","4580314.105","2.14003","41.37113","BUS -91--",3,16,"Sants-Montjuïc","la Bordeta",,
"K015","Transports i serveis relacionats","Autobusos nocturns","430514.593","4588306.149","430422.662","4588105.158","2.167119","41.441507","NITBUS -N4--",8,48,"Nou Barris","la Guineueta",,
"K014","Transports i serveis relacionats","Autobusos diürns","429361.598","4578923.741","429269.675","4578722.838","2.154415","41.356903","BUS -107--",3,11,"Sants-Montjuïc","el Poble-sec",,
"K014","Transports i serveis relacionats","Autobusos diürns","428718.614","4587195.067","428626.7","4586994.087","2.145754","41.431343","BUS -27-60-76-B19-V21-H4--",7,41,"Horta-Guinardó","la Vall d'Hebron",,
"K015","Transports i serveis relacionats","Autobusos nocturns","432801.37","4584752.038","432709.417","4584551.08","2.194886","41.409692","NITBUS -N2--",10,65,"Sant Martí","el Clot",,
"K014","Transports i serveis relacionats","Autobusos diürns","428852.996","4584785.98","428761.08","4584585.022","2.147646","41.409657","BUS -27--",6,28,"Gràcia","Vallcarca i els Penitents",,
"K015","Transports i serveis relacionats","Autobusos nocturns","428323.246","4582104.275","428231.334","4581903.342","2.141626","41.385457","NITBUS -N3--",4,19,"Les Corts","les Corts",,
"K014","Transports i serveis relacionats","Autobusos diürns","432765.25","4582143.883","432673.297","4581942.949","2.194744","41.386198","BUS -59-V27-136--",1,3,"Ciutat Vella","la Barceloneta",,
"K014","Transports i serveis relacionats","Autobusos diürns","430072.607","4586357.137","429980.68","4586156.165","2.162055","41.423915","BUS -39--",7,36,"Horta-Guinardó","la Font d'en Fargues",,
"K015","Transports i serveis relacionats","Autobusos nocturns","432119.951","4586503.699","432028.005","4586302.725","2.186537","41.425411","NITBUS -N3--",9,61,"Sant Andreu","la Sagrera",,
"K015","Transports i serveis relacionats","Autobusos nocturns","431489.991","4583960.429","431398.05","4583759.478","2.179287","41.402451","NITBUS -N0-N3-N7-N9--",2,6,"Eixample","la Sagrada Família",,
"K015","Transports i serveis relacionats","Autobusos nocturns","429394.005","4582851.41","429302.083","4582650.47","2.154344","41.392281","NITBUS -N8--",2,8,"Eixample","l'Antiga Esquerra de l'Eixample",,
"K014","Transports i serveis relacionats","Autobusos diürns","428095.991","4586483.438","428004.082","4586282.465","2.138388","41.424878","BUS -185--",7,39,"Horta-Guinardó","Sant Genís dels Agudells",,
"K014","Transports i serveis relacionats","Autobusos diürns","426535.455","4583254.335","426443.56","4583053.392","2.120107","41.395654","BUS -V3--",5,23,"Sarrià-Sant Gervasi","Sarrià",,
"K015","Transports i serveis relacionats","Autobusos nocturns","431269.998","4590519.423","431178.061","4590318.412","2.175909","41.461506","NITBUS -N3--",8,55,"Nou Barris","Ciutat Meridiana",,
"K014","Transports i serveis relacionats","Autobusos diürns","428249.296","4578532.549","428157.383","4578331.65","2.141165","41.353282","BUS -H16--",3,12,"Sants-Montjuïc","la Marina del Prat Vermell",,
